year,nome,month,Number of Fires,date
2011,DISTRITO FEDERAL,July,53,2011-01-01
2012,DISTRITO FEDERAL,July,29,2012-01-01
2013,DISTRITO FEDERAL,July,22,2013-01-01
2014,DISTRITO FEDERAL,July,27,2014-01-01
2015,DISTRITO FEDERAL,July,15,2015-01-01
2016,DISTRITO FEDERAL,July,79,2016-01-01
2017,DISTRITO FEDERAL,July,44,2017-01-01
1998,DISTRITO FEDERAL,August,48,1998-01-01
1999,DISTRITO FEDERAL,August,16,1999-01-01
2000,DISTRITO FEDERAL,August,9,2000-01-01
2001,DISTRITO FEDERAL,August,25,2001-01-01
2002,DISTRITO FEDERAL,August,53,2002-01-01
2003,DISTRITO FEDERAL,August,36,2003-01-01
2004,DISTRITO FEDERAL,August,108,2004-01-01
2005,DISTRITO FEDERAL,August,20,2005-01-01
2006,DISTRITO FEDERAL,August,40,2006-01-01
2007,DISTRITO FEDERAL,August,137,2007-01-01
2008,DISTRITO FEDERAL,August,30,2008-01-01
2009,DISTRITO FEDERAL,August,37,2009-01-01
2010,DISTRITO FEDERAL,August,159,2010-01-01
2011,DISTRITO FEDERAL,August,61,2011-01-01
2012,DISTRITO FEDERAL,August,55,2012-01-01
2013,DISTRITO FEDERAL,August,34,2013-01-01
2014,DISTRITO FEDERAL,August,99,2014-01-01
2015,DISTRITO FEDERAL,August,53,2015-01-01
2016,DISTRITO FEDERAL,August,29,2016-01-01
2017,DISTRITO FEDERAL,August,147,2017-01-01
1998,DISTRITO FEDERAL,September,33,1998-01-01
1999,DISTRITO FEDERAL,September,12,1999-01-01
2000,DISTRITO FEDERAL,September,3,2000-01-01
2001,DISTRITO FEDERAL,September,12,2001-01-01
2002,DISTRITO FEDERAL,September,33,2002-01-01
2003,DISTRITO FEDERAL,September,17,2003-01-01
2004,DISTRITO FEDERAL,September,100,2004-01-01
2005,DISTRITO FEDERAL,September,23,2005-01-01
2006,DISTRITO FEDERAL,September,20,2006-01-01
2007,DISTRITO FEDERAL,September,73,2007-01-01
2008,DISTRITO FEDERAL,September,54,2008-01-01
2009,DISTRITO FEDERAL,September,5,2009-01-01
2010,DISTRITO FEDERAL,September,196,2010-01-01
2011,DISTRITO FEDERAL,September,133,2011-01-01
2012,DISTRITO FEDERAL,September,64,2012-01-01
2013,DISTRITO FEDERAL,September,31,2013-01-01
2014,DISTRITO FEDERAL,September,72,2014-01-01
2015,DISTRITO FEDERAL,September,76,2015-01-01
2016,DISTRITO FEDERAL,September,58,2016-01-01
2017,DISTRITO FEDERAL,September,122,2017-01-01
1998,DISTRITO FEDERAL,October,3,1998-01-01
1999,DISTRITO FEDERAL,October,8,1999-01-01
2000,DISTRITO FEDERAL,October,18,2000-01-01
2001,DISTRITO FEDERAL,October,0,2001-01-01
2002,DISTRITO FEDERAL,October,19,2002-01-01
2003,DISTRITO FEDERAL,October,12,2003-01-01
2004,DISTRITO FEDERAL,October,18,2004-01-01
2005,DISTRITO FEDERAL,October,18,2005-01-01
2006,DISTRITO FEDERAL,October,1,2006-01-01
2007,DISTRITO FEDERAL,October,13,2007-01-01
2008,DISTRITO FEDERAL,October,6,2008-01-01
2009,DISTRITO FEDERAL,October,3,2009-01-01
2010,DISTRITO FEDERAL,October,6,2010-01-01
2011,DISTRITO FEDERAL,October,0,2011-01-01
2012,DISTRITO FEDERAL,October,15,2012-01-01
2013,DISTRITO FEDERAL,October,3,2013-01-01
2014,DISTRITO FEDERAL,October,34,2014-01-01
2015,DISTRITO FEDERAL,October,21,2015-01-01
2016,DISTRITO FEDERAL,October,9,2016-01-01
2017,DISTRITO FEDERAL,October,66,2017-01-01
1998,DISTRITO FEDERAL,November,0,1998-01-01
1999,DISTRITO FEDERAL,November,1,1999-01-01
2000,DISTRITO FEDERAL,November,0,2000-01-01
2001,DISTRITO FEDERAL,November,0,2001-01-01
2002,DISTRITO FEDERAL,November,1,2002-01-01
2003,DISTRITO FEDERAL,November,0,2003-01-01
2004,DISTRITO FEDERAL,November,0,2004-01-01
2005,DISTRITO FEDERAL,November,2,2005-01-01
2006,DISTRITO FEDERAL,November,0,2006-01-01
2007,DISTRITO FEDERAL,November,0,2007-01-01
2008,DISTRITO FEDERAL,November,4,2008-01-01
2009,DISTRITO FEDERAL,November,0,2009-01-01
2010,DISTRITO FEDERAL,November,0,2010-01-01
2011,DISTRITO FEDERAL,November,1,2011-01-01
2012,DISTRITO FEDERAL,November,0,2012-01-01
2013,DISTRITO FEDERAL,November,0,2013-01-01
2014,DISTRITO FEDERAL,November,0,2014-01-01
2015,DISTRITO FEDERAL,November,3,2015-01-01
2016,DISTRITO FEDERAL,November,1,2016-01-01
2017,DISTRITO FEDERAL,November,0,2017-01-01
1998,DISTRITO FEDERAL,December,0,1998-01-01
1999,DISTRITO FEDERAL,December,0,1999-01-01
2000,DISTRITO FEDERAL,December,0,2000-01-01
2001,DISTRITO FEDERAL,December,1,2001-01-01
2002,DISTRITO FEDERAL,December,1,2002-01-01
2003,DISTRITO FEDERAL,December,0,2003-01-01
2004,DISTRITO FEDERAL,December,0,2004-01-01
2005,DISTRITO FEDERAL,December,0,2005-01-01
2006,DISTRITO FEDERAL,December,0,2006-01-01
2007,DISTRITO FEDERAL,December,0,2007-01-01
2008,DISTRITO FEDERAL,December,0,2008-01-01
2009,DISTRITO FEDERAL,December,0,2009-01-01
2010,DISTRITO FEDERAL,December,1,2010-01-01
2011,DISTRITO FEDERAL,December,0,2011-01-01
2012,DISTRITO FEDERAL,December,0,2012-01-01
2013,DISTRITO FEDERAL,December,2,2013-01-01
2014,DISTRITO FEDERAL,December,0,2014-01-01
2015,DISTRITO FEDERAL,December,0,2015-01-01
2016,DISTRITO FEDERAL,December,0,2016-01-01
1998,ESPIRITO SANTO,January,0,1998-01-01
1999,ESPIRITO SANTO,January,33,1999-01-01
2000,ESPIRITO SANTO,January,5,2000-01-01
2001,ESPIRITO SANTO,January,1,2001-01-01
2002,ESPIRITO SANTO,January,2,2002-01-01
2003,ESPIRITO SANTO,January,4,2003-01-01
2004,ESPIRITO SANTO,January,1,2004-01-01
2005,ESPIRITO SANTO,January,4,2005-01-01
2006,ESPIRITO SANTO,January,13,2006-01-01
2007,ESPIRITO SANTO,January,0,2007-01-01
2008,ESPIRITO SANTO,January,12,2008-01-01
2009,ESPIRITO SANTO,January,4,2009-01-01
2010,ESPIRITO SANTO,January,52,2010-01-01
2011,ESPIRITO SANTO,January,3,2011-01-01
2012,ESPIRITO SANTO,January,1,2012-01-01
2013,ESPIRITO SANTO,January,10,2013-01-01
2014,ESPIRITO SANTO,January,11,2014-01-01
2015,ESPIRITO SANTO,January,76,2015-01-01
2016,ESPIRITO SANTO,January,43,2016-01-01
2017,ESPIRITO SANTO,January,13,2017-01-01
1998,ESPIRITO SANTO,February,0,1998-01-01
1999,ESPIRITO SANTO,February,10,1999-01-01
2000,ESPIRITO SANTO,February,5,2000-01-01
2001,ESPIRITO SANTO,February,5,2001-01-01
2002,ESPIRITO SANTO,February,4,2002-01-01
2003,ESPIRITO SANTO,February,11,2003-01-01
2004,ESPIRITO SANTO,February,5,2004-01-01
2005,ESPIRITO SANTO,February,1,2005-01-01
2006,ESPIRITO SANTO,February,45,2006-01-01
2007,ESPIRITO SANTO,February,3,2007-01-01
2008,ESPIRITO SANTO,February,20,2008-01-01
2009,ESPIRITO SANTO,February,12,2009-01-01
2010,ESPIRITO SANTO,February,15,2010-01-01
2011,ESPIRITO SANTO,February,42,2011-01-01
2012,ESPIRITO SANTO,February,25,2012-01-01
2013,ESPIRITO SANTO,February,15,2013-01-01
2014,ESPIRITO SANTO,February,17,2014-01-01
2015,ESPIRITO SANTO,February,60,2015-01-01
2016,ESPIRITO SANTO,February,24,2016-01-01
2017,ESPIRITO SANTO,February,8,2017-01-01
1998,ESPIRITO SANTO,March,0,1998-01-01
1999,ESPIRITO SANTO,March,8,1999-01-01
2000,ESPIRITO SANTO,March,1,2000-01-01
2001,ESPIRITO SANTO,March,2,2001-01-01
2002,ESPIRITO SANTO,March,4,2002-01-01
2003,ESPIRITO SANTO,March,28,2003-01-01
2004,ESPIRITO SANTO,March,3,2004-01-01
2005,ESPIRITO SANTO,March,3,2005-01-01
2006,ESPIRITO SANTO,March,14,2006-01-01
2007,ESPIRITO SANTO,March,9,2007-01-01
2008,ESPIRITO SANTO,March,5,2008-01-01
2009,ESPIRITO SANTO,March,11,2009-01-01
2010,ESPIRITO SANTO,March,3,2010-01-01
2011,ESPIRITO SANTO,March,5,2011-01-01
2012,ESPIRITO SANTO,March,35,2012-01-01
2013,ESPIRITO SANTO,March,13,2013-01-01
2014,ESPIRITO SANTO,March,15,2014-01-01
2015,ESPIRITO SANTO,March,25,2015-01-01
2016,ESPIRITO SANTO,March,107,2016-01-01
2017,ESPIRITO SANTO,March,9,2017-01-01
1998,ESPIRITO SANTO,April,0,1998-01-01
1999,ESPIRITO SANTO,April,2,1999-01-01
2000,ESPIRITO SANTO,April,3,2000-01-01
2001,ESPIRITO SANTO,April,2,2001-01-01
2002,ESPIRITO SANTO,April,2,2002-01-01
2003,ESPIRITO SANTO,April,22,2003-01-01
2004,ESPIRITO SANTO,April,0,2004-01-01
2005,ESPIRITO SANTO,April,4,2005-01-01
2006,ESPIRITO SANTO,April,1,2006-01-01
2007,ESPIRITO SANTO,April,2,2007-01-01
2008,ESPIRITO SANTO,April,8,2008-01-01
2009,ESPIRITO SANTO,April,8,2009-01-01
2010,ESPIRITO SANTO,April,7,2010-01-01
2011,ESPIRITO SANTO,April,3,2011-01-01
2012,ESPIRITO SANTO,April,74,2012-01-01
2013,ESPIRITO SANTO,April,16,2013-01-01
2014,ESPIRITO SANTO,April,15,2014-01-01
2015,ESPIRITO SANTO,April,33,2015-01-01
2016,ESPIRITO SANTO,April,57,2016-01-01
2017,ESPIRITO SANTO,April,7,2017-01-01
1998,ESPIRITO SANTO,May,0,1998-01-01
1999,ESPIRITO SANTO,May,16,1999-01-01
2000,ESPIRITO SANTO,May,2,2000-01-01
2001,ESPIRITO SANTO,May,8,2001-01-01
2002,ESPIRITO SANTO,May,5,2002-01-01
2003,ESPIRITO SANTO,May,1,2003-01-01
2004,ESPIRITO SANTO,May,0,2004-01-01
2005,ESPIRITO SANTO,May,5,2005-01-01
2006,ESPIRITO SANTO,May,0,2006-01-01
2007,ESPIRITO SANTO,May,1,2007-01-01
2008,ESPIRITO SANTO,May,2,2008-01-01
2009,ESPIRITO SANTO,May,7,2009-01-01
2010,ESPIRITO SANTO,May,3,2010-01-01
2011,ESPIRITO SANTO,May,2,2011-01-01
2012,ESPIRITO SANTO,May,20,2012-01-01
2013,ESPIRITO SANTO,May,14,2013-01-01
2014,ESPIRITO SANTO,May,18,2014-01-01
2015,ESPIRITO SANTO,May,17,2015-01-01
2016,ESPIRITO SANTO,May,48,2016-01-01
2017,ESPIRITO SANTO,May,10,2017-01-01
1998,ESPIRITO SANTO,June,6,1998-01-01
1999,ESPIRITO SANTO,June,6,1999-01-01
2000,ESPIRITO SANTO,June,9,2000-01-01
2001,ESPIRITO SANTO,June,9,2001-01-01
2002,ESPIRITO SANTO,June,18,2002-01-01
2003,ESPIRITO SANTO,June,19,2003-01-01
2004,ESPIRITO SANTO,June,3,2004-01-01
2005,ESPIRITO SANTO,June,8,2005-01-01
2006,ESPIRITO SANTO,June,5,2006-01-01
2007,ESPIRITO SANTO,June,4,2007-01-01
2008,ESPIRITO SANTO,June,4,2008-01-01
2009,ESPIRITO SANTO,June,12,2009-01-01
2010,ESPIRITO SANTO,June,3,2010-01-01
2011,ESPIRITO SANTO,June,7,2011-01-01
2012,ESPIRITO SANTO,June,15,2012-01-01
2013,ESPIRITO SANTO,June,22,2013-01-01
2014,ESPIRITO SANTO,June,9,2014-01-01
2015,ESPIRITO SANTO,June,18,2015-01-01
2016,ESPIRITO SANTO,June,49,2016-01-01
2017,ESPIRITO SANTO,June,37,2017-01-01
1998,ESPIRITO SANTO,July,37,1998-01-01
1999,ESPIRITO SANTO,July,9,1999-01-01
2000,ESPIRITO SANTO,July,16,2000-01-01
2001,ESPIRITO SANTO,July,12,2001-01-01
2002,ESPIRITO SANTO,July,9,2002-01-01
2003,ESPIRITO SANTO,July,27,2003-01-01
2004,ESPIRITO SANTO,July,4,2004-01-01
2005,ESPIRITO SANTO,July,9,2005-01-01
2006,ESPIRITO SANTO,July,11,2006-01-01
2007,ESPIRITO SANTO,July,13,2007-01-01
2008,ESPIRITO SANTO,July,5,2008-01-01
2009,ESPIRITO SANTO,July,25,2009-01-01
2010,ESPIRITO SANTO,July,5,2010-01-01
2011,ESPIRITO SANTO,July,18,2011-01-01
2012,ESPIRITO SANTO,July,35,2012-01-01
2013,ESPIRITO SANTO,July,20,2013-01-01
2014,ESPIRITO SANTO,July,17,2014-01-01
2015,ESPIRITO SANTO,July,30,2015-01-01
2016,ESPIRITO SANTO,July,42,2016-01-01
2017,ESPIRITO SANTO,July,3,2017-01-01
1998,ESPIRITO SANTO,August,38,1998-01-01
1999,ESPIRITO SANTO,August,60,1999-01-01
2000,ESPIRITO SANTO,August,26,2000-01-01
2001,ESPIRITO SANTO,August,30,2001-01-01
2002,ESPIRITO SANTO,August,60,2002-01-01
2003,ESPIRITO SANTO,August,118,2003-01-01
2004,ESPIRITO SANTO,August,12,2004-01-01
2005,ESPIRITO SANTO,August,12,2005-01-01
2006,ESPIRITO SANTO,August,29,2006-01-01
2007,ESPIRITO SANTO,August,82,2007-01-01
2008,ESPIRITO SANTO,August,13,2008-01-01
2009,ESPIRITO SANTO,August,17,2009-01-01
2010,ESPIRITO SANTO,August,39,2010-01-01
2011,ESPIRITO SANTO,August,93,2011-01-01
2012,ESPIRITO SANTO,August,12,2012-01-01
2013,ESPIRITO SANTO,August,53,2013-01-01
2014,ESPIRITO SANTO,August,47,2014-01-01
2015,ESPIRITO SANTO,August,35,2015-01-01
2016,ESPIRITO SANTO,August,78,2016-01-01
2017,ESPIRITO SANTO,August,30,2017-01-01
1998,ESPIRITO SANTO,September,108,1998-01-01
1999,ESPIRITO SANTO,September,64,1999-01-01
2000,ESPIRITO SANTO,September,14,2000-01-01
2001,ESPIRITO SANTO,September,38,2001-01-01
2002,ESPIRITO SANTO,September,46,2002-01-01
2003,ESPIRITO SANTO,September,252,2003-01-01
2004,ESPIRITO SANTO,September,47,2004-01-01
2005,ESPIRITO SANTO,September,8,2005-01-01
2006,ESPIRITO SANTO,September,87,2006-01-01
2007,ESPIRITO SANTO,September,63,2007-01-01
2008,ESPIRITO SANTO,September,78,2008-01-01
2009,ESPIRITO SANTO,September,57,2009-01-01
2010,ESPIRITO SANTO,September,53,2010-01-01
2011,ESPIRITO SANTO,September,108,2011-01-01
2012,ESPIRITO SANTO,September,48,2012-01-01
2013,ESPIRITO SANTO,September,30,2013-01-01
2014,ESPIRITO SANTO,September,61,2014-01-01
2015,ESPIRITO SANTO,September,228,2015-01-01
2016,ESPIRITO SANTO,September,128,2016-01-01
2017,ESPIRITO SANTO,September,58,2017-01-01
1998,ESPIRITO SANTO,October,20,1998-01-01
1999,ESPIRITO SANTO,October,23,1999-01-01
2000,ESPIRITO SANTO,October,88,2000-01-01
2001,ESPIRITO SANTO,October,19,2001-01-01
2002,ESPIRITO SANTO,October,113,2002-01-01
2003,ESPIRITO SANTO,October,159,2003-01-01
2004,ESPIRITO SANTO,October,48,2004-01-01
2005,ESPIRITO SANTO,October,62,2005-01-01
2006,ESPIRITO SANTO,October,10,2006-01-01
2007,ESPIRITO SANTO,October,79,2007-01-01
2008,ESPIRITO SANTO,October,100,2008-01-01
2009,ESPIRITO SANTO,October,13,2009-01-01
2010,ESPIRITO SANTO,October,32,2010-01-01
2011,ESPIRITO SANTO,October,38,2011-01-01
2012,ESPIRITO SANTO,October,62,2012-01-01
2013,ESPIRITO SANTO,October,37,2013-01-01
2014,ESPIRITO SANTO,October,89,2014-01-01
2015,ESPIRITO SANTO,October,307,2015-01-01
2016,ESPIRITO SANTO,October,58,2016-01-01
2017,ESPIRITO SANTO,October,56,2017-01-01
1998,ESPIRITO SANTO,November,4,1998-01-01
1999,ESPIRITO SANTO,November,9,1999-01-01
2000,ESPIRITO SANTO,November,3,2000-01-01
2001,ESPIRITO SANTO,November,3,2001-01-01
2002,ESPIRITO SANTO,November,22,2002-01-01
2003,ESPIRITO SANTO,November,49,2003-01-01
2004,ESPIRITO SANTO,November,42,2004-01-01
2005,ESPIRITO SANTO,November,0,2005-01-01
2006,ESPIRITO SANTO,November,0,2006-01-01
2007,ESPIRITO SANTO,November,112,2007-01-01
2008,ESPIRITO SANTO,November,3,2008-01-01
2009,ESPIRITO SANTO,November,18,2009-01-01
2010,ESPIRITO SANTO,November,3,2010-01-01
2011,ESPIRITO SANTO,November,6,2011-01-01
2012,ESPIRITO SANTO,November,7,2012-01-01
2013,ESPIRITO SANTO,November,11,2013-01-01
2014,ESPIRITO SANTO,November,20,2014-01-01
2015,ESPIRITO SANTO,November,141,2015-01-01
2016,ESPIRITO SANTO,November,8,2016-01-01
2017,ESPIRITO SANTO,November,3,2017-01-01
1998,ESPIRITO SANTO,December,5,1998-01-01
1999,ESPIRITO SANTO,December,0,1999-01-01
2000,ESPIRITO SANTO,December,3,2000-01-01
2001,ESPIRITO SANTO,December,1,2001-01-01
2002,ESPIRITO SANTO,December,12,2002-01-01
2003,ESPIRITO SANTO,December,18,2003-01-01
2004,ESPIRITO SANTO,December,9,2004-01-01
2005,ESPIRITO SANTO,December,5,2005-01-01
2006,ESPIRITO SANTO,December,0,2006-01-01
2007,ESPIRITO SANTO,December,14,2007-01-01
2008,ESPIRITO SANTO,December,1,2008-01-01
2009,ESPIRITO SANTO,December,32,2009-01-01
2010,ESPIRITO SANTO,December,10,2010-01-01
2011,ESPIRITO SANTO,December,1,2011-01-01
2012,ESPIRITO SANTO,December,18,2012-01-01
2013,ESPIRITO SANTO,December,9,2013-01-01
2014,ESPIRITO SANTO,December,28,2014-01-01
2015,ESPIRITO SANTO,December,61,2015-01-01
2016,ESPIRITO SANTO,December,12,2016-01-01
1998,GOIAS,January,0,1998-01-01
1999,GOIAS,January,14,1999-01-01
2000,GOIAS,January,10,2000-01-01
2001,GOIAS,January,29,2001-01-01
2002,GOIAS,January,12,2002-01-01
2003,GOIAS,January,14,2003-01-01
2004,GOIAS,January,10,2004-01-01
2005,GOIAS,January,27,2005-01-01
2006,GOIAS,January,85,2006-01-01
2007,GOIAS,January,28,2007-01-01
2008,GOIAS,January,23,2008-01-01
2009,GOIAS,January,30,2009-01-01
2010,GOIAS,January,59,2010-01-01
2011,GOIAS,January,39,2011-01-01
2012,GOIAS,January,21,2012-01-01
2013,GOIAS,January,33,2013-01-01
2014,GOIAS,January,80,2014-01-01
2015,GOIAS,January,118,2015-01-01
2016,GOIAS,January,52,2016-01-01
2017,GOIAS,January,53,2017-01-01
1998,GOIAS,February,0,1998-01-01
1999,GOIAS,February,334,1999-01-01
2000,GOIAS,February,11,2000-01-01
2001,GOIAS,February,9,2001-01-01
2002,GOIAS,February,9,2002-01-01
2003,GOIAS,February,47,2003-01-01
2004,GOIAS,February,11,2004-01-01
2005,GOIAS,February,84,2005-01-01
2006,GOIAS,February,21,2006-01-01
2007,GOIAS,February,13,2007-01-01
2008,GOIAS,February,25,2008-01-01
2009,GOIAS,February,29,2009-01-01
2010,GOIAS,February,86,2010-01-01
2011,GOIAS,February,45,2011-01-01
2012,GOIAS,February,37,2012-01-01
2013,GOIAS,February,86,2013-01-01
2014,GOIAS,February,44,2014-01-01
2015,GOIAS,February,53,2015-01-01
2016,GOIAS,February,117,2016-01-01
2017,GOIAS,February,75,2017-01-01
1998,GOIAS,March,0,1998-01-01
1999,GOIAS,March,1,1999-01-01
2000,GOIAS,March,4,2000-01-01
2001,GOIAS,March,10,2001-01-01
2002,GOIAS,March,48,2002-01-01
2003,GOIAS,March,29,2003-01-01
2004,GOIAS,March,36,2004-01-01
2005,GOIAS,March,36,2005-01-01
2006,GOIAS,March,29,2006-01-01
2007,GOIAS,March,49,2007-01-01
2008,GOIAS,March,20,2008-01-01
2009,GOIAS,March,32,2009-01-01
2010,GOIAS,March,65,2010-01-01
2011,GOIAS,March,19,2011-01-01
2012,GOIAS,March,57,2012-01-01
2013,GOIAS,March,79,2013-01-01
2014,GOIAS,March,80,2014-01-01
2015,GOIAS,March,76,2015-01-01
2016,GOIAS,March,136,2016-01-01
2017,GOIAS,March,115,2017-01-01
1998,GOIAS,April,0,1998-01-01
1999,GOIAS,April,25,1999-01-01
2000,GOIAS,April,16,2000-01-01
2001,GOIAS,April,49,2001-01-01
2002,GOIAS,April,78,2002-01-01
2003,GOIAS,April,87,2003-01-01
2004,GOIAS,April,32,2004-01-01
2005,GOIAS,April,55,2005-01-01
2006,GOIAS,April,22,2006-01-01
2007,GOIAS,April,17,2007-01-01
2008,GOIAS,April,36,2008-01-01
2009,GOIAS,April,11,2009-01-01
2010,GOIAS,April,105,2010-01-01
2011,GOIAS,April,71,2011-01-01
2012,GOIAS,April,89,2012-01-01
2013,GOIAS,April,42,2013-01-01
2014,GOIAS,April,138,2014-01-01
2015,GOIAS,April,89,2015-01-01
2016,GOIAS,April,167,2016-01-01
2017,GOIAS,April,60,2017-01-01
1998,GOIAS,May,0,1998-01-01
1999,GOIAS,May,99,1999-01-01
2000,GOIAS,May,58,2000-01-01
2001,GOIAS,May,85,2001-01-01
2002,GOIAS,May,171,2002-01-01
2003,GOIAS,May,57,2003-01-01
2004,GOIAS,May,157,2004-01-01
2005,GOIAS,May,164,2005-01-01
2006,GOIAS,May,33,2006-01-01
2007,GOIAS,May,94,2007-01-01
2008,GOIAS,May,41,2008-01-01
2009,GOIAS,May,104,2009-01-01
2010,GOIAS,May,239,2010-01-01
2011,GOIAS,May,136,2011-01-01
2012,GOIAS,May,103,2012-01-01
2013,GOIAS,May,150,2013-01-01
2014,GOIAS,May,210,2014-01-01
2015,GOIAS,May,129,2015-01-01
2016,GOIAS,May,233,2016-01-01
2017,GOIAS,May,135,2017-01-01
1998,GOIAS,June,172,1998-01-01
1999,GOIAS,June,250,1999-01-01
2000,GOIAS,June,222,2000-01-01
2001,GOIAS,June,212,2001-01-01
2002,GOIAS,June,302,2002-01-01
2003,GOIAS,June,321,2003-01-01
2004,GOIAS,June,422,2004-01-01
2005,GOIAS,June,189,2005-01-01
2006,GOIAS,June,70,2006-01-01
2007,GOIAS,June,186,2007-01-01
2008,GOIAS,June,55,2008-01-01
2009,GOIAS,June,179,2009-01-01
2010,GOIAS,June,278,2010-01-01
2011,GOIAS,June,314,2011-01-01
2012,GOIAS,June,245,2012-01-01
2013,GOIAS,June,192,2013-01-01
2014,GOIAS,June,318,2014-01-01
2015,GOIAS,June,277,2015-01-01
2016,GOIAS,June,289,2016-01-01
2017,GOIAS,June,442,2017-01-01
1998,GOIAS,July,512,1998-01-01
1999,GOIAS,July,311,1999-01-01
2000,GOIAS,July,332,2000-01-01
2001,GOIAS,July,371,2001-01-01
2002,GOIAS,July,686,2002-01-01
2003,GOIAS,July,322,2003-01-01
2004,GOIAS,July,778,2004-01-01
2005,GOIAS,July,363,2005-01-01
2006,GOIAS,July,169,2006-01-01
2007,GOIAS,July,399,2007-01-01
2008,GOIAS,July,193,2008-01-01
2009,GOIAS,July,470,2009-01-01
2010,GOIAS,July,941,2010-01-01
2011,GOIAS,July,607,2011-01-01
2012,GOIAS,July,564,2012-01-01
2013,GOIAS,July,350,2013-01-01
2014,GOIAS,July,446,2014-01-01
2015,GOIAS,July,347,2015-01-01
2016,GOIAS,July,837,2016-01-01
2017,GOIAS,July,577,2017-01-01
1998,GOIAS,August,2.218,1998-01-01
1999,GOIAS,August,1.198,1999-01-01
2000,GOIAS,August,925,2000-01-01
2001,GOIAS,August,787,2001-01-01
2002,GOIAS,August,1.428,2002-01-01
2003,GOIAS,August,902,2003-01-01
2004,GOIAS,August,1.498,2004-01-01
2005,GOIAS,August,639,2005-01-01
2006,GOIAS,August,588,2006-01-01
2007,GOIAS,August,2.382,2007-01-01
2008,GOIAS,August,568,2008-01-01
2009,GOIAS,August,647,2009-01-01
2010,GOIAS,August,2.914,2010-01-01
2011,GOIAS,August,1.613,2011-01-01
2012,GOIAS,August,912,2012-01-01
2013,GOIAS,August,488,2013-01-01
2014,GOIAS,August,1.255,2014-01-01
2015,GOIAS,August,943,2015-01-01
2016,GOIAS,August,1.032,2016-01-01
2017,GOIAS,August,1.492,2017-01-01
1998,GOIAS,September,2.867,1998-01-01
1999,GOIAS,September,1.898,1999-01-01
2000,GOIAS,September,1.293,2000-01-01
2001,GOIAS,September,1.863,2001-01-01
2002,GOIAS,September,3.52,2002-01-01
2003,GOIAS,September,1.662,2003-01-01
2004,GOIAS,September,2.965,2004-01-01
2005,GOIAS,September,1.341,2005-01-01
2006,GOIAS,September,1.463,2006-01-01
2007,GOIAS,September,3.745,2007-01-01
2008,GOIAS,September,1.255,2008-01-01
2009,GOIAS,September,685,2009-01-01
2010,GOIAS,September,5.075,2010-01-01
2011,GOIAS,September,2.259,2011-01-01
2012,GOIAS,September,2.452,2012-01-01
2013,GOIAS,September,684,2013-01-01
2014,GOIAS,September,1.687,2014-01-01
2015,GOIAS,September,2.296,2015-01-01
2016,GOIAS,September,1.703,2016-01-01
2017,GOIAS,September,3.238,2017-01-01
1998,GOIAS,October,1.034,1998-01-01
1999,GOIAS,October,743,1999-01-01
2000,GOIAS,October,905,2000-01-01
2001,GOIAS,October,479,2001-01-01
2002,GOIAS,October,1.367,2002-01-01
2003,GOIAS,October,1.183,2003-01-01
2004,GOIAS,October,1.275,2004-01-01
2005,GOIAS,October,1.717,2005-01-01
2006,GOIAS,October,178,2006-01-01
2007,GOIAS,October,1.195,2007-01-01
2008,GOIAS,October,1.231,2008-01-01
2009,GOIAS,October,367,2009-01-01
2010,GOIAS,October,1.227,2010-01-01
2011,GOIAS,October,476,2011-01-01
2012,GOIAS,October,1.524,2012-01-01
2013,GOIAS,October,606,2013-01-01
2014,GOIAS,October,1.947,2014-01-01
2015,GOIAS,October,1.807,2015-01-01
2016,GOIAS,October,522,2016-01-01
2017,GOIAS,October,2.401,2017-01-01
1998,GOIAS,November,47,1998-01-01
1999,GOIAS,November,110,1999-01-01
2000,GOIAS,November,26,2000-01-01
2001,GOIAS,November,15,2001-01-01
2002,GOIAS,November,192,2002-01-01
2003,GOIAS,November,168,2003-01-01
2004,GOIAS,November,291,2004-01-01
2005,GOIAS,November,144,2005-01-01
2006,GOIAS,November,91,2006-01-01
2007,GOIAS,November,79,2007-01-01
2008,GOIAS,November,90,2008-01-01
2009,GOIAS,November,89,2009-01-01
2010,GOIAS,November,67,2010-01-01
2011,GOIAS,November,59,2011-01-01
2012,GOIAS,November,57,2012-01-01
2013,GOIAS,November,183,2013-01-01
2014,GOIAS,November,181,2014-01-01
2015,GOIAS,November,547,2015-01-01
2016,GOIAS,November,123,2016-01-01
2017,GOIAS,November,117,2017-01-01
1998,GOIAS,December,13,1998-01-01
1999,GOIAS,December,20,1999-01-01
2000,GOIAS,December,6,2000-01-01
2001,GOIAS,December,18,2001-01-01
2002,GOIAS,December,115,2002-01-01
2003,GOIAS,December,129,2003-01-01
2004,GOIAS,December,56,2004-01-01
2005,GOIAS,December,5,2005-01-01
2006,GOIAS,December,7,2006-01-01
2007,GOIAS,December,16,2007-01-01
2008,GOIAS,December,6,2008-01-01
2009,GOIAS,December,39,2009-01-01
2010,GOIAS,December,48,2010-01-01
2011,GOIAS,December,39,2011-01-01
2012,GOIAS,December,93,2012-01-01
2013,GOIAS,December,86,2013-01-01
2014,GOIAS,December,68,2014-01-01
2015,GOIAS,December,179,2015-01-01
2016,GOIAS,December,64,2016-01-01
1998,MARANHAO,January,0,1998-01-01
1999,MARANHAO,January,54,1999-01-01
