year,state,month,Number of Fires
2017,ACRE,March,0
2017,ACRE,April,1
2017,ACRE,May,10
2017,ACRE,June,45
2017,ACRE,July,457
2017,ACRE,August,1493
2017,ACRE,September,3429
2017,ACRE,October,1508
2017,ACRE,November,98
1998,ALAGOAS,January,0
1998,ALAGOAS,February,0
1998,ALAGOAS,March,0
1998,ALAGOAS,April,0
1998,ALAGOAS,May,0
1998,ALAGOAS,June,0
1998,ALAGOAS,July,0
1998,ALAGOAS,August,1
1998,ALAGOAS,September,14
1998,ALAGOAS,October,20
1998,ALAGOAS,November,19
1998,ALAGOAS,December,32
1999,ALAGOAS,January,58
1999,ALAGOAS,February,20
1999,ALAGOAS,March,52
1999,ALAGOAS,April,4
1999,ALAGOAS,May,1
1999,ALAGOAS,June,0
1999,ALAGOAS,July,0
1999,ALAGOAS,August,3
1999,ALAGOAS,September,3
1999,ALAGOAS,October,4
1999,ALAGOAS,November,15
1999,ALAGOAS,December,12
2000,ALAGOAS,January,11
2000,ALAGOAS,February,16
2000,ALAGOAS,March,32
2000,ALAGOAS,April,20
2000,ALAGOAS,May,1
2000,ALAGOAS,June,0
2000,ALAGOAS,July,0
2000,ALAGOAS,August,4
2000,ALAGOAS,September,22
2000,ALAGOAS,October,13
2000,ALAGOAS,November,2
2000,ALAGOAS,December,2
2001,ALAGOAS,January,5
2001,ALAGOAS,February,4
2001,ALAGOAS,March,0
2001,ALAGOAS,April,0
2001,ALAGOAS,May,2
2001,ALAGOAS,June,2
2001,ALAGOAS,July,0
2001,ALAGOAS,August,1
2001,ALAGOAS,September,5
2001,ALAGOAS,October,15
2001,ALAGOAS,November,22
2001,ALAGOAS,December,30
2002,ALAGOAS,January,12
2002,ALAGOAS,February,15
2002,ALAGOAS,March,27
2002,ALAGOAS,April,6
2002,ALAGOAS,May,1
2002,ALAGOAS,June,0
2002,ALAGOAS,July,5
2002,ALAGOAS,August,3
2002,ALAGOAS,September,14
2002,ALAGOAS,October,30
2002,ALAGOAS,November,50
2002,ALAGOAS,December,95
2003,ALAGOAS,January,150
2003,ALAGOAS,February,33
2003,ALAGOAS,March,15
2003,ALAGOAS,April,20
2003,ALAGOAS,May,1
2003,ALAGOAS,June,0
2003,ALAGOAS,July,0
2003,ALAGOAS,August,2
2003,ALAGOAS,September,8
2003,ALAGOAS,October,10
2003,ALAGOAS,November,17
2003,ALAGOAS,December,43
2004,ALAGOAS,January,9
2004,ALAGOAS,February,7
2004,ALAGOAS,March,16
2004,ALAGOAS,April,6
2004,ALAGOAS,May,3
2004,ALAGOAS,June,0
2004,ALAGOAS,July,0
2004,ALAGOAS,August,2
2004,ALAGOAS,September,5
2004,ALAGOAS,October,12
2004,ALAGOAS,November,28
2004,ALAGOAS,December,71
2005,ALAGOAS,January,83
2005,ALAGOAS,February,31
2005,ALAGOAS,March,35
2005,ALAGOAS,April,1
2005,ALAGOAS,May,0
2005,ALAGOAS,June,0
2005,ALAGOAS,July,0
2005,ALAGOAS,August,2
2005,ALAGOAS,September,7
2005,ALAGOAS,October,17
2005,ALAGOAS,November,25
2005,ALAGOAS,December,16
2006,ALAGOAS,January,29
2006,ALAGOAS,February,14
2006,ALAGOAS,March,37
2006,ALAGOAS,April,2
2006,ALAGOAS,May,0
2006,ALAGOAS,June,0
2006,ALAGOAS,July,0
2006,ALAGOAS,August,1
2006,ALAGOAS,September,4
2006,ALAGOAS,October,32
2006,ALAGOAS,November,12
2006,ALAGOAS,December,30
2007,ALAGOAS,January,33
2007,ALAGOAS,February,28
2007,ALAGOAS,March,7
2007,ALAGOAS,April,1
2007,ALAGOAS,May,0
2007,ALAGOAS,June,0
2007,ALAGOAS,July,0
2007,ALAGOAS,August,3
2007,ALAGOAS,September,2
2007,ALAGOAS,October,6
2007,ALAGOAS,November,15
2007,ALAGOAS,December,33
2008,ALAGOAS,January,55
2008,ALAGOAS,February,74
2008,ALAGOAS,March,31
2008,ALAGOAS,April,18
2008,ALAGOAS,May,0
2008,ALAGOAS,June,0
2008,ALAGOAS,July,0
2008,ALAGOAS,August,1
2008,ALAGOAS,September,9
2008,ALAGOAS,October,18
2008,ALAGOAS,November,37
2008,ALAGOAS,December,34
2009,ALAGOAS,January,104
2009,ALAGOAS,February,32
2009,ALAGOAS,March,31
2009,ALAGOAS,April,5
2009,ALAGOAS,May,0
2009,ALAGOAS,June,0
2009,ALAGOAS,July,0
2009,ALAGOAS,August,0
2009,ALAGOAS,September,13
2009,ALAGOAS,October,30
2009,ALAGOAS,November,55
2009,ALAGOAS,December,55
2010,ALAGOAS,January,23
2010,ALAGOAS,February,26
2010,ALAGOAS,March,70
2010,ALAGOAS,April,3
2010,ALAGOAS,May,0
2010,ALAGOAS,June,0
2010,ALAGOAS,July,2
2010,ALAGOAS,August,1
2010,ALAGOAS,September,5
2010,ALAGOAS,October,16
2010,ALAGOAS,November,31
2010,ALAGOAS,December,45
2011,ALAGOAS,January,41
2011,ALAGOAS,February,33
2011,ALAGOAS,March,34
2011,ALAGOAS,April,17
2011,ALAGOAS,May,0
2011,ALAGOAS,June,2
2011,ALAGOAS,July,0
2011,ALAGOAS,August,4
2011,ALAGOAS,September,5
2011,ALAGOAS,October,23
2011,ALAGOAS,November,23
2011,ALAGOAS,December,50
2012,ALAGOAS,January,36
2012,ALAGOAS,February,41
2012,ALAGOAS,March,44
2012,ALAGOAS,April,18
2012,ALAGOAS,May,21
2012,ALAGOAS,June,4
2012,ALAGOAS,July,0
2012,ALAGOAS,August,0
2012,ALAGOAS,September,6
2012,ALAGOAS,October,28
2012,ALAGOAS,November,95
2012,ALAGOAS,December,59
2013,ALAGOAS,January,49
2013,ALAGOAS,February,19
2013,ALAGOAS,March,31
2013,ALAGOAS,April,25
2013,ALAGOAS,May,2
2013,ALAGOAS,June,1
2013,ALAGOAS,July,0
2013,ALAGOAS,August,0
2013,ALAGOAS,September,4
2013,ALAGOAS,October,25
2013,ALAGOAS,November,10
2013,ALAGOAS,December,42
2014,ALAGOAS,January,54
2014,ALAGOAS,February,29
2014,ALAGOAS,March,28
2014,ALAGOAS,April,16
2014,ALAGOAS,May,1
2014,ALAGOAS,June,2
2014,ALAGOAS,July,1
2014,ALAGOAS,August,3
2014,ALAGOAS,September,11
2014,ALAGOAS,October,7
2014,ALAGOAS,November,14
2014,ALAGOAS,December,24
2015,ALAGOAS,January,81
2015,ALAGOAS,February,46
2015,ALAGOAS,March,32
2015,ALAGOAS,April,63
2015,ALAGOAS,May,18
2015,ALAGOAS,June,2
2015,ALAGOAS,July,0
2015,ALAGOAS,August,3
2015,ALAGOAS,September,7
2015,ALAGOAS,October,40
2015,ALAGOAS,November,162
2015,ALAGOAS,December,136
2016,ALAGOAS,January,24
2016,ALAGOAS,February,14
2016,ALAGOAS,March,9
2016,ALAGOAS,April,13
2016,ALAGOAS,May,4
2016,ALAGOAS,June,5
2016,ALAGOAS,July,3
2016,ALAGOAS,August,5
2016,ALAGOAS,September,18
2016,ALAGOAS,October,74
2016,ALAGOAS,November,76
2016,ALAGOAS,December,155
2017,ALAGOAS,January,38
2017,ALAGOAS,January,38
2017,ALAGOAS,February,21
2017,ALAGOAS,March,23
2017,ALAGOAS,April,7
2017,ALAGOAS,May,1
2017,ALAGOAS,June,2
2017,ALAGOAS,July,0
2017,ALAGOAS,August,1
2017,ALAGOAS,September,4
2017,ALAGOAS,October,14
2017,ALAGOAS,November,10
1998,AMAPÁ,January,0
1998,AMAPÁ,February,0
1998,AMAPÁ,March,0
1998,AMAPÁ,April,0
1998,AMAPÁ,May,0
1998,AMAPÁ,June,0
1998,AMAPÁ,July,0
1998,AMAPÁ,August,1
1998,AMAPÁ,September,20
1998,AMAPÁ,October,42
1998,AMAPÁ,November,131
1998,AMAPÁ,December,84
1999,AMAPÁ,January,0
1999,AMAPÁ,February,1
1999,AMAPÁ,March,2
1999,AMAPÁ,April,0
1999,AMAPÁ,May,0
1999,AMAPÁ,June,2
1999,AMAPÁ,July,0
1999,AMAPÁ,August,0
1999,AMAPÁ,September,4
1999,AMAPÁ,October,25
1999,AMAPÁ,November,26
1999,AMAPÁ,December,41
2000,AMAPÁ,January,2
2000,AMAPÁ,February,0
2000,AMAPÁ,March,0
2000,AMAPÁ,April,0
2000,AMAPÁ,May,0
2000,AMAPÁ,June,0
2000,AMAPÁ,July,0
2000,AMAPÁ,August,3
2000,AMAPÁ,September,19
2000,AMAPÁ,October,42
2000,AMAPÁ,November,157
2000,AMAPÁ,December,30
2001,AMAPÁ,January,0
2001,AMAPÁ,February,0
2001,AMAPÁ,March,0
2001,AMAPÁ,April,0
2001,AMAPÁ,May,0
2001,AMAPÁ,June,0
2001,AMAPÁ,July,1
2001,AMAPÁ,August,12
2001,AMAPÁ,September,95
2001,AMAPÁ,October,194
2001,AMAPÁ,November,406
2001,AMAPÁ,December,593
2002,AMAPÁ,January,7
2002,AMAPÁ,February,2
2002,AMAPÁ,March,0
2002,AMAPÁ,April,0
2002,AMAPÁ,May,3
2002,AMAPÁ,June,0
2002,AMAPÁ,July,1
2002,AMAPÁ,August,18
2002,AMAPÁ,September,73
2002,AMAPÁ,October,557
2002,AMAPÁ,November,1096
2002,AMAPÁ,December,200
2003,AMAPÁ,January,31
2003,AMAPÁ,February,0
2003,AMAPÁ,March,1
2003,AMAPÁ,April,2
2003,AMAPÁ,May,0
2003,AMAPÁ,June,0
2003,AMAPÁ,July,0
2003,AMAPÁ,August,14
2003,AMAPÁ,September,88
2003,AMAPÁ,October,355
2003,AMAPÁ,November,750
2003,AMAPÁ,December,411
2004,AMAPÁ,January,38
2004,AMAPÁ,February,2
2004,AMAPÁ,March,0
2004,AMAPÁ,April,0
2004,AMAPÁ,May,0
2004,AMAPÁ,June,5
2004,AMAPÁ,July,2
2004,AMAPÁ,August,9
2004,AMAPÁ,September,67
2004,AMAPÁ,October,412
2004,AMAPÁ,November,949
2004,AMAPÁ,December,777
2005,AMAPÁ,January,109
2005,AMAPÁ,February,1
2005,AMAPÁ,March,0
2005,AMAPÁ,April,0
2005,AMAPÁ,May,0
2005,AMAPÁ,June,2
2005,AMAPÁ,July,0
2005,AMAPÁ,August,4
2005,AMAPÁ,September,97
2005,AMAPÁ,October,335
2005,AMAPÁ,November,685
2005,AMAPÁ,December,38
2006,AMAPÁ,January,6
2006,AMAPÁ,February,2
2006,AMAPÁ,March,0
2006,AMAPÁ,April,0
2006,AMAPÁ,May,0
2006,AMAPÁ,June,0
2006,AMAPÁ,July,0
2006,AMAPÁ,August,11
2006,AMAPÁ,September,112
2006,AMAPÁ,October,405
2006,AMAPÁ,November,207
2006,AMAPÁ,December,74
2007,AMAPÁ,January,0
2007,AMAPÁ,February,0
2007,AMAPÁ,March,0
2007,AMAPÁ,April,0
2007,AMAPÁ,May,0
2007,AMAPÁ,June,0
2007,AMAPÁ,July,0
2007,AMAPÁ,August,5
2007,AMAPÁ,September,61
2007,AMAPÁ,October,162
2007,AMAPÁ,November,198
2007,AMAPÁ,December,14
2008,AMAPÁ,January,2
2008,AMAPÁ,February,0
2008,AMAPÁ,March,1
2008,AMAPÁ,April,2
2008,AMAPÁ,May,0
2008,AMAPÁ,June,0
2008,AMAPÁ,July,0
2008,AMAPÁ,August,4
2008,AMAPÁ,September,83
2008,AMAPÁ,October,395
2008,AMAPÁ,November,266
2008,AMAPÁ,December,32
2009,AMAPÁ,January,4
2009,AMAPÁ,February,0
2009,AMAPÁ,March,1
2009,AMAPÁ,April,0
2009,AMAPÁ,May,2
2009,AMAPÁ,June,1
2009,AMAPÁ,July,4
2009,AMAPÁ,August,20
2009,AMAPÁ,September,188
2009,AMAPÁ,October,765
2009,AMAPÁ,November,1019
2009,AMAPÁ,December,123
2010,AMAPÁ,January,2
2010,AMAPÁ,February,0
2010,AMAPÁ,March,2
2010,AMAPÁ,April,2
2010,AMAPÁ,May,2
2010,AMAPÁ,June,0
2010,AMAPÁ,July,2
2010,AMAPÁ,August,1
2010,AMAPÁ,September,63
2010,AMAPÁ,October,265
2010,AMAPÁ,November,339
2010,AMAPÁ,December,43
2011,AMAPÁ,January,0
2011,AMAPÁ,February,3
2011,AMAPÁ,March,0
2011,AMAPÁ,April,0
2011,AMAPÁ,May,2
2011,AMAPÁ,June,0
2011,AMAPÁ,July,5
2011,AMAPÁ,August,16
2011,AMAPÁ,September,128
2011,AMAPÁ,October,304
2011,AMAPÁ,November,282
2011,AMAPÁ,December,360
2012,AMAPÁ,January,30
2012,AMAPÁ,February,5
2012,AMAPÁ,March,1
2012,AMAPÁ,April,2
2012,AMAPÁ,May,2
2012,AMAPÁ,June,7
2012,AMAPÁ,July,3
2012,AMAPÁ,August,19
2012,AMAPÁ,September,168
2012,AMAPÁ,October,475
2012,AMAPÁ,November,969
2012,AMAPÁ,December,422
2013,AMAPÁ,January,3
2013,AMAPÁ,February,0
2013,AMAPÁ,March,0
2013,AMAPÁ,April,2
2013,AMAPÁ,May,0
2013,AMAPÁ,June,1
2013,AMAPÁ,July,1
2013,AMAPÁ,August,9
2013,AMAPÁ,September,85
2013,AMAPÁ,October,385
2013,AMAPÁ,November,341
2013,AMAPÁ,December,148
2014,AMAPÁ,January,10
2014,AMAPÁ,February,2
2014,AMAPÁ,March,1
2014,AMAPÁ,April,0
2014,AMAPÁ,May,0
2014,AMAPÁ,June,0
2014,AMAPÁ,July,4
2014,AMAPÁ,August,18
2014,AMAPÁ,September,137
2014,AMAPÁ,October,480
2014,AMAPÁ,November,484
2014,AMAPÁ,December,354
2015,AMAPÁ,January,14
2015,AMAPÁ,February,1
2015,AMAPÁ,March,2
2015,AMAPÁ,April,0
2015,AMAPÁ,May,0
2015,AMAPÁ,June,3
2015,AMAPÁ,July,5
2015,AMAPÁ,August,40
2015,AMAPÁ,September,192
2015,AMAPÁ,October,827
2015,AMAPÁ,November,1300
2015,AMAPÁ,December,269
2016,AMAPÁ,January,19
2016,AMAPÁ,February,1
2016,AMAPÁ,March,5
2016,AMAPÁ,April,0
2016,AMAPÁ,May,1
2016,AMAPÁ,June,2
2016,AMAPÁ,July,1
2016,AMAPÁ,August,37
2016,AMAPÁ,September,142
2016,AMAPÁ,October,793
2016,AMAPÁ,November,1161
2016,AMAPÁ,December,491
2017,AMAPÁ,January,2
2017,AMAPÁ,February,0
2017,AMAPÁ,March,0
2017,AMAPÁ,April,3
2017,AMAPÁ,May,1
2017,AMAPÁ,June,2
2017,AMAPÁ,July,3
2017,AMAPÁ,August,33
2017,AMAPÁ,September,95
2017,AMAPÁ,October,468
2017,AMAPÁ,November,858
1998,AMAZONAS,January,0
1998,AMAZONAS,February,0
1998,AMAZONAS,March,0
1998,AMAZONAS,April,0
1998,AMAZONAS,May,0
1998,AMAZONAS,June,2
1998,AMAZONAS,July,71
1998,AMAZONAS,August,321
1998,AMAZONAS,September,267
1998,AMAZONAS,October,83
1998,AMAZONAS,November,6
1998,AMAZONAS,December,196
1999,AMAZONAS,January,3
1999,AMAZONAS,February,43
1999,AMAZONAS,March,7
1999,AMAZONAS,April,2
1999,AMAZONAS,May,0
1999,AMAZONAS,June,7
1999,AMAZONAS,July,11
1999,AMAZONAS,August,259
1999,AMAZONAS,September,216
1999,AMAZONAS,October,479
1999,AMAZONAS,November,32
1999,AMAZONAS,December,2
2000,AMAZONAS,January,7
2000,AMAZONAS,February,62
2000,AMAZONAS,March,69
2000,AMAZONAS,April,18
2000,AMAZONAS,May,51
2000,AMAZONAS,June,6
2000,AMAZONAS,July,39
2000,AMAZONAS,August,180
2000,AMAZONAS,September,189
2000,AMAZONAS,October,145
2000,AMAZONAS,November,27
2000,AMAZONAS,December,60
2001,AMAZONAS,January,3
2001,AMAZONAS,February,8
2001,AMAZONAS,March,6
2001,AMAZONAS,April,1
2001,AMAZONAS,May,0
2001,AMAZONAS,June,5
2001,AMAZONAS,July,9
2001,AMAZONAS,August,501
2001,AMAZONAS,September,166
2001,AMAZONAS,October,332
2001,AMAZONAS,November,244
2001,AMAZONAS,December,22
2002,AMAZONAS,January,17
2002,AMAZONAS,February,2
2002,AMAZONAS,March,5
2002,AMAZONAS,April,2
2002,AMAZONAS,May,8
2002,AMAZONAS,June,5
2002,AMAZONAS,July,146
2002,AMAZONAS,August,741
2002,AMAZONAS,September,928
2002,AMAZONAS,October,695
2002,AMAZONAS,November,259
2002,AMAZONAS,December,44
2003,AMAZONAS,January,158
2003,AMAZONAS,February,62
2003,AMAZONAS,March,64
2003,AMAZONAS,April,11
2003,AMAZONAS,May,2
2003,AMAZONAS,June,3
2003,AMAZONAS,July,180
2003,AMAZONAS,August,1867
2003,AMAZONAS,September,1401
2003,AMAZONAS,October,725
2003,AMAZONAS,November,169
2003,AMAZONAS,December,147
2004,AMAZONAS,January,123
2004,AMAZONAS,February,92
2004,AMAZONAS,March,6
2004,AMAZONAS,April,4
2004,AMAZONAS,May,0
2004,AMAZONAS,June,12
2004,AMAZONAS,July,177
2004,AMAZONAS,August,1207
2004,AMAZONAS,September,911
2004,AMAZONAS,October,710
2004,AMAZONAS,November,209
2004,AMAZONAS,December,53
2005,AMAZONAS,January,44
2005,AMAZONAS,February,6
2005,AMAZONAS,March,12
2005,AMAZONAS,April,5
2005,AMAZONAS,May,8
2005,AMAZONAS,June,78
2005,AMAZONAS,July,676
2005,AMAZONAS,August,2316
2005,AMAZONAS,September,2812
2005,AMAZONAS,October,545
2005,AMAZONAS,November,261
2005,AMAZONAS,December,17
2006,AMAZONAS,January,20
2006,AMAZONAS,February,10
2006,AMAZONAS,March,20
2006,AMAZONAS,April,5
2006,AMAZONAS,May,4
2006,AMAZONAS,June,9
2006,AMAZONAS,July,123
2006,AMAZONAS,August,1422
2006,AMAZONAS,September,2218
2006,AMAZONAS,October,721
2006,AMAZONAS,November,59
2006,AMAZONAS,December,23
2007,AMAZONAS,January,37
2007,AMAZONAS,February,92
2007,AMAZONAS,March,6
2007,AMAZONAS,April,0
2007,AMAZONAS,May,0
2007,AMAZONAS,June,23
2007,AMAZONAS,July,116
2007,AMAZONAS,August,2241
2007,AMAZONAS,September,1360
2007,AMAZONAS,October,215
2007,AMAZONAS,November,90
2007,AMAZONAS,December,7
2008,AMAZONAS,January,16
2008,AMAZONAS,February,32
2008,AMAZONAS,March,10
2008,AMAZONAS,April,13
2008,AMAZONAS,May,1
2008,AMAZONAS,June,7
2008,AMAZONAS,July,108
2008,AMAZONAS,August,861
2008,AMAZONAS,September,998
2008,AMAZONAS,October,632
2008,AMAZONAS,November,39
2008,AMAZONAS,December,0
2009,AMAZONAS,January,9
2009,AMAZONAS,February,3
2009,AMAZONAS,March,11
2009,AMAZONAS,April,1
2009,AMAZONAS,May,3
2009,AMAZONAS,June,13
2009,AMAZONAS,July,199
2009,AMAZONAS,August,1321
2009,AMAZONAS,September,3091
2009,AMAZONAS,October,2189
2009,AMAZONAS,November,973
2009,AMAZONAS,December,102
2010,AMAZONAS,January,82
2010,AMAZONAS,February,81
2010,AMAZONAS,March,116
2010,AMAZONAS,April,11
2010,AMAZONAS,May,13
2010,AMAZONAS,June,9
2010,AMAZONAS,July,640
2010,AMAZONAS,August,3727
2010,AMAZONAS,September,2781
2010,AMAZONAS,October,889
2010,AMAZONAS,November,354
2010,AMAZONAS,December,123
2011,AMAZONAS,January,53
2011,AMAZONAS,February,30
2011,AMAZONAS,March,49
2011,AMAZONAS,April,5
2011,AMAZONAS,May,6
2011,AMAZONAS,June,22
2011,AMAZONAS,July,271
2011,AMAZONAS,August,1243
2011,AMAZONAS,September,1295
2011,AMAZONAS,October,694
2011,AMAZONAS,November,399
2011,AMAZONAS,December,121
2012,AMAZONAS,January,6
2012,AMAZONAS,February,25
2012,AMAZONAS,March,17
2012,AMAZONAS,April,3
2012,AMAZONAS,May,12
2012,AMAZONAS,June,45
2012,AMAZONAS,July,234
2012,AMAZONAS,August,3011
2012,AMAZONAS,September,2392
2012,AMAZONAS,October,1238
2012,AMAZONAS,November,682
2012,AMAZONAS,December,80
2013,AMAZONAS,January,37
2013,AMAZONAS,February,16
2013,AMAZONAS,March,49
2013,AMAZONAS,April,20
2013,AMAZONAS,May,19
2013,AMAZONAS,June,56
2013,AMAZONAS,July,248
2013,AMAZONAS,August,1276
2013,AMAZONAS,September,1739
2013,AMAZONAS,October,1202
2013,AMAZONAS,November,220
2013,AMAZONAS,December,236
2014,AMAZONAS,January,46
2014,AMAZONAS,February,49
2014,AMAZONAS,March,50
2014,AMAZONAS,April,25
2014,AMAZONAS,May,12
2014,AMAZONAS,June,74
2014,AMAZONAS,July,202
2014,AMAZONAS,August,3852
2014,AMAZONAS,September,3057
2014,AMAZONAS,October,952
2014,AMAZONAS,November,676
2014,AMAZONAS,December,293
2015,AMAZONAS,January,35
2015,AMAZONAS,February,107
2015,AMAZONAS,March,46
2015,AMAZONAS,April,24
2015,AMAZONAS,May,10
2015,AMAZONAS,June,33
2015,AMAZONAS,July,356
2015,AMAZONAS,August,4564
2015,AMAZONAS,September,5882
2015,AMAZONAS,October,2494
2015,AMAZONAS,November,1054
2015,AMAZONAS,December,565
2016,AMAZONAS,January,770
2016,AMAZONAS,February,275
2016,AMAZONAS,March,140
2016,AMAZONAS,April,22
2016,AMAZONAS,May,30
2016,AMAZONAS,June,90
2016,AMAZONAS,July,1137
2016,AMAZONAS,August,3611
2016,AMAZONAS,September,3119
2016,AMAZONAS,October,2105
2016,AMAZONAS,November,591
2016,AMAZONAS,December,133
2017,AMAZONAS,January,65
2017,AMAZONAS,February,52
2017,AMAZONAS,March,45
2017,AMAZONAS,April,20
2017,AMAZONAS,May,40
2017,AMAZONAS,June,119
2017,AMAZONAS,July,1975
2017,AMAZONAS,August,6316
2017,AMAZONAS,September,4033
2017,AMAZONAS,October,1581
2017,AMAZONAS,November,552
1998,BAHIA,January,0
1998,BAHIA,February,0
1998,BAHIA,March,0
1998,BAHIA,April,0
1998,BAHIA,May,0
1998,BAHIA,June,55
1998,BAHIA,July,219
1998,BAHIA,August,815
1998,BAHIA,September,2718
1998,BAHIA,October,1969
1998,BAHIA,November,49
1998,BAHIA,December,82
1999,BAHIA,January,114
1999,BAHIA,February,157
1999,BAHIA,March,83
1999,BAHIA,April,55
1999,BAHIA,May,76
1999,BAHIA,June,64
1999,BAHIA,July,107
1999,BAHIA,August,453
